lang,algo,family,instance,n,m,opt,k,time_ms,nodes,timed_out,replica
java,smart,structured,structured_n50_m150_s0,50,150,50,50,4.237,101,0,1
python,smart,structured,structured_n50_m150_s0,50,150,50,50,4.148,101,0,2
cpp,smart,structured,structured_n50_m150_s0,50,150,50,50,0.067,101,0,2
java,smart,structured,structured_n50_m150_s0,50,150,50,50,4.186,101,0,2
python,smart,structured,structured_n50_m150_s0,50,150,50,50,4.179,101,0,3
cpp,smart,structured,structured_n50_m150_s0,50,150,50,50,0.089,101,0,3
java,smart,structured,structured_n50_m150_s0,50,150,50,50,4.260,101,0,3
python,smart,structured,structured_n50_m150_s1,50,150,50,50,4.227,101,0,1
cpp,smart,structured,structured_n50_m150_s1,50,150,50,50,0.068,101,0,1
java,smart,structured,structured_n50_m150_s1,50,150,50,50,4.219,101,0,1
python,smart,structured,structured_n50_m150_s1,50,150,50,50,4.222,101,0,2
cpp,smart,structured,structured_n50_m150_s1,50,150,50,50,0.068,101,0,2
java,smart,structured,structured_n50_m150_s1,50,150,50,50,4.262,101,0,2
python,smart,structured,structured_n50_m150_s1,50,150,50,50,4.232,101,0,3
cpp,smart,structured,structured_n50_m150_s1,50,150,50,50,0.076,101,0,3
java,smart,structured,structured_n50_m150_s1,50,150,50,50,4.228,101,0,3
python,smart,structured,structured_n50_m150_s2,50,150,50,50,4.309,101,0,1
cpp,smart,structured,structured_n50_m150_s2,50,150,50,50,0.069,101,0,1
java,smart,structured,structured_n50_m150_s2,50,150,50,50,4.194,101,0,1
python,smart,structured,structured_n50_m150_s2,50,150,50,50,4.417,101,0,2
cpp,smart,structured,structured_n50_m150_s2,50,150,50,50,0.070,101,0,2
java,smart,structured,structured_n50_m150_s2,50,150,50,50,4.236,101,0,2
python,smart,structured,structured_n50_m150_s2,50,150,50,50,4.402,101,0,3
cpp,smart,structured,structured_n50_m150_s2,50,150,50,50,0.070,101,0,3
java,smart,structured,structured_n50_m150_s2,50,150,50,50,4.250,101,0,3
python,smart,structured,structured_n50_m150_s3,50,150,50,50,4.373,101,0,1
cpp,smart,structured,structured_n50_m150_s3,50,150,50,50,0.071,101,0,1
java,smart,structured,structured_n50_m150_s3,50,150,50,50,4.229,101,0,1
python,smart,structured,structured_n50_m150_s3,50,150,50,50,4.309,101,0,2
cpp,smart,structured,structured_n50_m150_s3,50,150,50,50,0.073,101,0,2
java,smart,structured,structured_n50_m150_s3,50,150,50,50,4.240,101,0,2
python,smart,structured,structured_n50_m150_s3,50,150,50,50,4.392,101,0,3
cpp,smart,structured,structured_n50_m150_s3,50,150,50,50,0.071,101,0,3
java,smart,structured,structured_n50_m150_s3,50,150,50,50,4.234,101,0,3
python,smart,structured,structured_n50_m150_s4,50,150,50,50,4.084,101,0,1
cpp,smart,structured,structured_n50_m150_s4,50,150,50,50,0.069,101,0,1
java,smart,structured,structured_n50_m150_s4,50,150,50,50,4.223,101,0,1
python,smart,structured,structured_n50_m150_s4,50,150,50,50,4.104,101,0,2
cpp,smart,structured,structured_n50_m150_s4,50,150,50,50,0.072,101,0,2
java,smart,structured,structured_n50_m150_s4,50,150,50,50,4.232,101,0,2
python,smart,structured,structured_n50_m150_s4,50,150,50,50,4.129,101,0,3
cpp,smart,structured,structured_n50_m150_s4,50,150,50,50,0.069,101,0,3
java,smart,structured,structured_n50_m150_s4,50,150,50,50,4.199,101,0,3
python,smart,structured,structured_n60_m180_s0,60,180,60,60,6.277,121,0,1
cpp,smart,structured,structured_n60_m180_s0,60,180,60,60,0.092,121,0,1
java,smart,structured,structured_n60_m180_s0,60,180,60,60,4.686,121,0,1
python,smart,structured,structured_n60_m180_s0,60,180,60,60,6.056,121,0,2
cpp,smart,structured,structured_n60_m180_s0,60,180,60,60,0.093,121,0,2
java,smart,structured,structured_n60_m180_s0,60,180,60,60,4.635,121,0,2
python,smart,structured,structured_n60_m180_s0,60,180,60,60,6.078,121,0,3
cpp,smart,structured,structured_n60_m180_s0,60,180,60,60,0.092,121,0,3
java,smart,structured,structured_n60_m180_s0,60,180,60,60,4.963,121,0,3
python,smart,structured,structured_n60_m180_s1,60,180,60,60,6.029,121,0,1
cpp,smart,structured,structured_n60_m180_s1,60,180,60,60,0.093,121,0,1
java,smart,structured,structured_n60_m180_s1,60,180,60,60,4.568,121,0,1
python,smart,structured,structured_n60_m180_s1,60,180,60,60,6.024,121,0,2
cpp,smart,structured,structured_n60_m180_s1,60,180,60,60,0.101,121,0,2
